拉丁美洲独立运动发生于什么时期？,19世纪初。
引发拉丁美洲独立运动的主要内部原因是什么？,西班牙和葡萄牙残酷的殖民统治引发了人民的强烈不满。
哪些外部事件影响了拉丁美洲独立运动？,美国独立战争和法国大革命。
拉丁美洲独立运动的两位主要领导人是谁？,玻利瓦尔和圣马丁。
玻利瓦尔和圣马丁被誉为什么？,南美的“解放者”。
拉丁美洲独立运动的性质是什么？,一场反抗殖民统治、争取民族独立的运动。
印度民族大起义发生于什么时期？,19世纪中期。
印度民族大起义的背景是什么？,英国完成工业革命后，进一步加强对印度的经济掠夺和政治压迫。
印度民族大起义中的杰出女英雄是谁？,章西女王。
印度民族大起义的性质是什么？,一场反抗殖民统治、争取民族独立的运动。
印度民族大起义有何历史意义？,沉重打击了英国殖民者，反映了印度民族意识的觉醒。
印度民族大起义是19世纪中期亚洲哪个运动的重要组成部分？,亚洲民族解放运动。
彼得一世改革前，俄国社会发展缓慢的主要原因是什么？,盛行农奴制。
彼得一世改革发生于何时，由谁领导？,18世纪，彼得一世。
彼得一世改革的性质是什么？,一场自上而下的封建性质的改革。
彼得一世改革开启了俄国的什么进程？,俄国近代化进程。
彼得一世改革的局限性是什么？,农奴制进一步强化，后来成为俄国社会发展的障碍。
1861年俄国农奴制改革的根本原因是什么？,农奴制严重阻碍了俄国资本主义的发展。
1861年俄国农奴制改革的直接原因是什么？,克里米亚战争的失败激化了社会矛盾。
1861年农奴制改革发生于何时，由谁领导？,1861年，亚历山大二世。
1861年俄国农奴制改革的性质是什么？,一场自上而下的资产阶级性质的改革。
1861年改革对俄国历史有何重要影响？,是俄国历史的重要转折点，推动俄国走上了发展资本主义的道路。
1861年俄国农奴制改革的局限性是什么？,农奴制的残余仍然存在，影响着俄国经济与社会的发展。
美国内战的根本原因是什么？,南方奴隶制种植园经济阻碍了北方资本主义经济的发展。
美国内战的导火线是什么事件？,1860年林肯当选总统。
美国内战的起止时间是？,1861年至1865年。
哪两部文件的颁布成为美国内战的转折点？,《宅地法》和《解放黑人奴隶宣言》。
美国内战的性质是什么？,美国历史上第二次资产阶级革命。
美国内战最主要的进步性影响是什么？,维护了国家统一，废除了奴隶制，为以后经济迅速发展创造了条件。
日本明治维新前，阻碍其社会经济发展的根本原因是什么？,德川幕府推行的锁国政策。
导致日本民族危机严重的外部原因是什么？,美国等西方国家的入侵。
日本明治维新开始于哪一年？,1868年。
明治维新在政治上采取了什么措施以加强中央集权？,废藩置县。
明治维新在军事上采取了什么措施？,实行征兵制，建立新式军队。
明治维新在经济上的口号是什么？它最能体现改革的什么性质？,口号是“殖产兴业”，最能体现资本主义性质。
明治维新在社会生活上的改革内容是什么？,提倡“文明开化”，向西方学习。
明治维新的进步性影响是什么？,使日本迅速走上了发展资本主义的道路，实现了富国强兵，开始跻身资本主义强国之列。
明治维新的局限性体现在哪里？,保留了大量旧制度的残余，军国主义色彩浓厚，使日本很快走上了对外侵略扩张的道路。
第二次工业革命开始于什么时间？,19世纪六七十年代。
第二次工业革命最显著的特点是什么？,科学研究同工业生产紧密结合。
发现电磁感应现象的科学家是谁？,法拉第。
改良了白炽灯泡的美国发明家是谁？,爱迪生。
成功研制出飞机的美国发明家是谁？,莱特兄弟。
第二次工业革命使人类社会进入了什么时代？,“电气时代”。
第二次工业革命后，主要资本主义国家出现了什么新型经济组织？,垄断组织。
第二次工业革命推动资本主义由自由资本主义向哪个阶段过渡？,垄断资本主义（帝国主义）阶段。
工业化带来的社会进步之一是劳动力结构的变化，具体表现为_____不断壮大。,工人阶级。
为适应工业化发展的需要，欧洲国家开始推广_____教育。,大众。
工业革命后，农村人口不断流向城市，城市规模越来越大，这一进程被称为_____。,城市化。
工业化进程带来了哪些主要的社会问题？,环境污染和贫富分化加剧。
出版了《自然哲学的数学原理》，提出万有引力定律的英国科学家是谁？,牛顿。
于1859年出版《物种起源》，提出进化论观点的英国科学家是谁？,达尔文。
创作了《人间喜剧》小说集的法国文学家是谁？,巴尔扎克。
创作了《战争与和平》、《安娜·卡列尼娜》等作品的俄国作家是谁？,列夫·托尔斯泰。
列夫·托尔斯泰被称为什么？,“俄国革命的镜子”。
创作了《英雄交响曲》的德国著名音乐家是谁？,贝多芬。
第一次世界大战的根本原因是什么？,帝国主义国家经济、政治发展不平衡。
第一次世界大战的性质是什么？,一场非正义的帝国主义战争。
第一次世界大战的导火索是什么事件？,萨拉热窝事件。
第一次世界大战的起止时间是？,1914年至1918年。
第一次世界大战的交战双方是哪两大军事集团？,同盟国集团和协约国集团。
一战中的同盟国集团主要由哪些国家组成？,德国、奥匈帝国和意大利（后倒戈）。
一战中的协约国集团主要由哪些国家组成？,英国、法国和俄国。
有“绞肉机”之称的是第一次世界大战中的哪场战役？,凡尔登战役。
哪个国家于1917年加入协约国作战，加速了一战的结束？,美国。
哪个国家因1917年爆发十月革命而退出第一次世界大战？,俄国。
第一次世界大战对欧洲的国际地位产生了什么影响？,削弱了欧洲的力量，从根本上动摇了欧洲的优势地位。
第一次世界大战对殖民地半殖民地国家有何影响？,削弱了帝国主义的殖民力量，促进了这些国家的民族觉醒。